PC	singular_value	eigenvalue_approx	variance_explained_percentage
PC1	276.7630004305783	76597.75840733628	5.394265675231586
PC2	275.28745958000735	75783.18540201418	5.33690076933953
PC3	272.73648048567156	74385.18778771111	5.238449186660207
PC4	271.3947309452747	73655.09998485805	5.187034006154634
PC5	270.261590454678	73041.3272750921	5.143810116454394
PC6	269.82257947603165	72804.22439509942	5.127112553057804
PC7	268.48376466429113	72083.53188831046	5.076359020152906
PC8	267.2733990847036	71435.06985829124	5.03069219460924
PC9	266.8054922499242	71185.17069472437	5.013093474903511
PC10	266.2401398913635	70883.81208937282	4.9918708123271625
PC11	265.34830267417635	70409.7217320663	4.958483812569584
PC12	264.5160017683381	69968.71519150746	4.927426683826488
PC13	263.82835474490753	69605.40076740478	4.901840889046024
PC14	263.2872217986537	69320.16116245347	4.881753379408692
PC15	262.3252588313567	68814.54142093827	4.8461459768804
PC16	262.0927851114437	68692.6280074734	4.837560433970558
PC17	261.46232599984967	68362.54791725166	4.814315110115364
PC18	260.35979498691023	67787.22284562593	4.773798829345539
PC19	260.1337977170307	67669.59271468504	4.765514929256282
PC20	259.80763461612037	67500.0070048235	4.753572146690098
