PC,singular_value,eigenvalue_approx,variance_explained_percentage
PC1,32.601635810278495,1062.866657506033,6.201589851224116
PC2,31.746431546765827,1007.8359159534884,5.880497750058397
PC3,31.430900170923202,987.9014855545402,5.764184795485024
PC4,31.183114766405485,972.3866465348158,5.673659170724279
PC5,30.96486022624553,958.8225688309224,5.594515803082037
PC6,30.370488112437354,922.3665481876986,5.381803054930231
PC7,29.84995000994252,891.0195155960675,5.198900112389531
PC8,29.46044947856945,867.9180834793431,5.06410840926095
PC9,29.2513553941552,855.6417923951726,4.99247898927622
PC10,29.164154185091554,850.5478893317933,4.962757201206306
PC11,28.913839329589056,836.0101047772908,4.877932471297067
PC12,28.55142334069497,815.1837747795815,4.756415481522359
PC13,28.409222645148365,807.0839313016106,4.709154701673121
PC14,28.34762929899091,803.5880868730079,4.688757229255695
PC15,28.041018546847397,786.2987211446397,4.5878776369964545
PC16,27.68615539917976,766.5232007875306,4.472491887068903
PC17,27.492955451487862,755.8625994574962,4.410289656385124
PC18,27.14632444144063,736.922930679957,4.299780913969647
PC19,27.06653741743456,732.5974477693851,4.274542686078681
PC20,26.85587253457515,721.2378895933477,4.208262198115869
